Sr. no.,DO Sowing,DO Harvesting,No. of seeds,DO Germination,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds
79,12-01-2023,02-05-2023,18,08-05-2023,17,10-05-2023,17,17-05-2023,17,22-05-2023,17,24-05-2023,17,26-05-2023,17,29-05-2023,17,31-05-2023,17,02-06-2023,17,05-06-2023,17,07-06-2023,17,09-06-2023,17,12-06-2023,18
80,12-01-2023,02-05-2023,22,08-05-2023,22,10-05-2023,22,17-05-2023,22,22-05-2023,22,24-05-2023,22,26-05-2023,22,29-05-2023,22,31-05-2023,22,02-06-2023,22,05-06-2023,22,07-06-2023,22,09-06-2023,22,12-06-2023,22
81,12-01-2023,02-05-2023,18,08-05-2023,18,10-05-2023,18,17-05-2023,18,22-05-2023,18,24-05-2023,18,26-05-2023,18,29-05-2023,18,31-05-2023,18,02-06-2023,18,05-06-2023,18,07-06-2023,18,09-06-2023,18,12-06-2023,18
82,12-01-2023,02-05-2023,15,08-05-2023,1,10-05-2023,1,17-05-2023,1,22-05-2023,1,24-05-2023,1,26-05-2023,1,29-05-2023,1,31-05-2023,1,02-06-2023,2,05-06-2023,2,07-06-2023,3,09-06-2023,3,12-06-2023,15
83,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,0
84,12-01-2023,02-05-2023,22,08-05-2023,5,10-05-2023,5,17-05-2023,5,22-05-2023,6,24-05-2023,6,26-05-2023,7,29-05-2023,7,31-05-2023,7,02-06-2023,7,05-06-2023,7,07-06-2023,9,09-06-2023,9,12-06-2023,22
85,12-01-2023,02-05-2023,15,08-05-2023,13,10-05-2023,14,17-05-2023,14,22-05-2023,14,24-05-2023,14,26-05-2023,14,29-05-2023,14,31-05-2023,14,02-06-2023,14,05-06-2023,14,07-06-2023,15,09-06-2023,15,12-06-2023,15
86,12-01-2023,02-05-2023,16,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,16
87,12-01-2023,02-05-2023,15,08-05-2023,0,10-05-2023,0,17-05-2023,1,22-05-2023,1,24-05-2023,1,26-05-2023,1,29-05-2023,1,31-05-2023,1,02-06-2023,1,05-06-2023,3,07-06-2023,3,09-06-2023,3,12-06-2023,15
88,12-01-2023,02-05-2023,15,08-05-2023,7,10-05-2023,8,17-05-2023,8,22-05-2023,8,24-05-2023,8,26-05-2023,8,29-05-2023,8,31-05-2023,8,02-06-2023,8,05-06-2023,8,07-06-2023,8,09-06-2023,8,12-06-2023,15
89,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
90,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
91,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,0
92,12-01-2023,02-05-2023,15,08-05-2023,3,10-05-2023,3,17-05-2023,3,22-05-2023,3,24-05-2023,3,26-05-2023,3,29-05-2023,3,31-05-2023,3,02-06-2023,4,05-06-2023,4,07-06-2023,4,09-06-2023,4,12-06-2023,15
93,12-01-2023,02-05-2023,6,08-05-2023,6,10-05-2023,6,17-05-2023,6,22-05-2023,6,24-05-2023,6,26-05-2023,6,29-05-2023,6,31-05-2023,6,02-06-2023,6,05-06-2023,6,07-06-2023,6,09-06-2023,6,12-06-2023,6
94,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
95,12-01-2023,02-05-2023,14,08-05-2023,14,10-05-2023,14,17-05-2023,14,22-05-2023,14,24-05-2023,14,26-05-2023,14,29-05-2023,14,31-05-2023,14,02-06-2023,14,05-06-2023,14,07-06-2023,14,09-06-2023,14,12-06-2023,14
96,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
97,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,0
98,12-01-2023,02-05-2023,9,08-05-2023,9,10-05-2023,9,17-05-2023,9,22-05-2023,9,24-05-2023,9,26-05-2023,9,29-05-2023,9,31-05-2023,9,02-06-2023,9,05-06-2023,9,07-06-2023,9,09-06-2023,9,12-06-2023,9
99,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
100,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
101,12-01-2023,02-05-2023,15,08-05-2023,11,10-05-2023,11,17-05-2023,11,22-05-2023,11,24-05-2023,11,26-05-2023,11,29-05-2023,11,31-05-2023,11,02-06-2023,11,05-06-2023,11,07-06-2023,13,09-06-2023,13,12-06-2023,15
102,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
103,12-01-2023,02-05-2023,5,08-05-2023,5,10-05-2023,5,17-05-2023,5,22-05-2023,5,24-05-2023,5,26-05-2023,5,29-05-2023,5,31-05-2023,5,02-06-2023,5,05-06-2023,5,07-06-2023,5,09-06-2023,5,12-06-2023,5
104,12-01-2023,02-05-2023,10,08-05-2023,10,10-05-2023,10,17-05-2023,10,22-05-2023,10,24-05-2023,10,26-05-2023,10,29-05-2023,10,31-05-2023,10,02-06-2023,10,05-06-2023,10,07-06-2023,10,09-06-2023,10,12-06-2023,10
105,12-01-2023,02-05-2023,6,08-05-2023,1,10-05-2023,2,17-05-2023,3,22-05-2023,3,24-05-2023,3,26-05-2023,4,29-05-2023,5,31-05-2023,5,02-06-2023,5,05-06-2023,5,07-06-2023,6,09-06-2023,6,12-06-2023,6
106,12-01-2023,02-05-2023,15,08-05-2023,5,10-05-2023,5,17-05-2023,5,22-05-2023,5,24-05-2023,5,26-05-2023,5,29-05-2023,6,31-05-2023,6,02-06-2023,8,05-06-2023,9,07-06-2023,9,09-06-2023,9,12-06-2023,15
107,12-01-2023,02-05-2023,16,08-05-2023,12,10-05-2023,12,17-05-2023,12,22-05-2023,12,24-05-2023,12,26-05-2023,12,29-05-2023,12,31-05-2023,12,02-06-2023,12,05-06-2023,12,07-06-2023,13,09-06-2023,13,12-06-2023,16
108,12-01-2023,02-05-2023,10,08-05-2023,10,10-05-2023,10,17-05-2023,10,22-05-2023,10,24-05-2023,10,26-05-2023,10,29-05-2023,10,31-05-2023,10,02-06-2023,10,05-06-2023,10,07-06-2023,10,09-06-2023,10,12-06-2023,10
109,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
110,12-01-2023,02-05-2023,15,08-05-2023,6,10-05-2023,6,17-05-2023,6,22-05-2023,6,24-05-2023,6,26-05-2023,6,29-05-2023,6,31-05-2023,6,02-06-2023,7,05-06-2023,8,07-06-2023,10,09-06-2023,10,12-06-2023,15
111,12-01-2023,02-05-2023,12,08-05-2023,12,10-05-2023,12,17-05-2023,12,22-05-2023,12,24-05-2023,12,26-05-2023,12,29-05-2023,12,31-05-2023,12,02-06-2023,12,05-06-2023,12,07-06-2023,12,09-06-2023,12,12-06-2023,12
112,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,0
113,12-01-2023,02-05-2023,10,08-05-2023,9,10-05-2023,9,17-05-2023,9,22-05-2023,9,24-05-2023,9,26-05-2023,9,29-05-2023,9,31-05-2023,9,02-06-2023,9,05-06-2023,9,07-06-2023,9,09-06-2023,9,12-06-2023,10
114,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
115,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
116,12-01-2023,02-05-2023,10,08-05-2023,9,10-05-2023,9,17-05-2023,9,22-05-2023,9,24-05-2023,9,26-05-2023,9,29-05-2023,9,31-05-2023,9,02-06-2023,9,05-06-2023,9,07-06-2023,9,09-06-2023,9,12-06-2023,10
117,12-01-2023,02-05-2023,15,08-05-2023,7,10-05-2023,9,17-05-2023,9,22-05-2023,9,24-05-2023,9,26-05-2023,9,29-05-2023,9,31-05-2023,9,02-06-2023,9,05-06-2023,10,07-06-2023,11,09-06-2023,11,12-06-2023,15
118,12-01-2023,02-05-2023,12,08-05-2023,12,10-05-2023,12,17-05-2023,12,22-05-2023,12,24-05-2023,12,26-05-2023,12,29-05-2023,12,31-05-2023,12,02-06-2023,12,05-06-2023,12,07-06-2023,12,09-06-2023,12,12-06-2023,12
119,12-01-2023,02-05-2023,15,08-05-2023,1,10-05-2023,2,17-05-2023,3,22-05-2023,3,24-05-2023,3,26-05-2023,3,29-05-2023,3,31-05-2023,3,02-06-2023,4,05-06-2023,4,07-06-2023,6,09-06-2023,6,12-06-2023,15
120,12-01-2023,02-05-2023,10,08-05-2023,9,10-05-2023,9,17-05-2023,10,22-05-2023,10,24-05-2023,10,26-05-2023,10,29-05-2023,10,31-05-2023,10,02-06-2023,10,05-06-2023,10,07-06-2023,10,09-06-2023,10,12-06-2023,10
121,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
122,12-01-2023,02-05-2023,12,08-05-2023,12,10-05-2023,12,17-05-2023,12,22-05-2023,12,24-05-2023,12,26-05-2023,12,29-05-2023,12,31-05-2023,12,02-06-2023,12,05-06-2023,12,07-06-2023,12,09-06-2023,12,12-06-2023,12
123,12-01-2023,02-05-2023,16,08-05-2023,3,10-05-2023,3,17-05-2023,3,22-05-2023,3,24-05-2023,3,26-05-2023,3,29-05-2023,3,31-05-2023,3,02-06-2023,3,05-06-2023,3,07-06-2023,4,09-06-2023,4,12-06-2023,16
124,12-01-2023,02-05-2023,15,08-05-2023,11,10-05-2023,11,17-05-2023,11,22-05-2023,11,24-05-2023,11,26-05-2023,12,29-05-2023,13,31-05-2023,13,02-06-2023,14,05-06-2023,14,07-06-2023,14,09-06-2023,14,12-06-2023,15
125,12-01-2023,02-05-2023,6,08-05-2023,5,10-05-2023,5,17-05-2023,5,22-05-2023,5,24-05-2023,5,26-05-2023,5,29-05-2023,5,31-05-2023,5,02-06-2023,5,05-06-2023,5,07-06-2023,5,09-06-2023,5,12-06-2023,6
126,12-01-2023,02-05-2023,6,08-05-2023,6,10-05-2023,6,17-05-2023,6,22-05-2023,6,24-05-2023,6,26-05-2023,6,29-05-2023,6,31-05-2023,6,02-06-2023,6,05-06-2023,6,07-06-2023,6,09-06-2023,6,12-06-2023,6
127,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,0
128,12-01-2023,02-05-2023,12,08-05-2023,12,10-05-2023,12,17-05-2023,12,22-05-2023,12,24-05-2023,12,26-05-2023,12,29-05-2023,13,31-05-2023,13,02-06-2023,13,05-06-2023,13,07-06-2023,13,09-06-2023,13,12-06-2023,12
129,12-01-2023,02-05-2023,5,08-05-2023,4,10-05-2023,4,17-05-2023,4,22-05-2023,4,24-05-2023,4,26-05-2023,4,29-05-2023,4,31-05-2023,4,02-06-2023,4,05-06-2023,4,07-06-2023,4,09-06-2023,4,12-06-2023,5
130,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
131,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,0
132,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,0
133,12-01-2023,02-05-2023,10,08-05-2023,10,10-05-2023,10,17-05-2023,10,22-05-2023,10,24-05-2023,10,26-05-2023,10,29-05-2023,10,31-05-2023,10,02-06-2023,10,05-06-2023,10,07-06-2023,10,09-06-2023,10,12-06-2023,10
134,12-01-2023,02-05-2023,10,08-05-2023,10,10-05-2023,10,17-05-2023,10,22-05-2023,10,24-05-2023,10,26-05-2023,10,29-05-2023,10,31-05-2023,10,02-06-2023,10,05-06-2023,10,07-06-2023,10,09-06-2023,10,12-06-2023,10
135,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,0
136,12-01-2023,02-05-2023,10,08-05-2023,3,10-05-2023,3,17-05-2023,7,22-05-2023,7,24-05-2023,7,26-05-2023,7,29-05-2023,7,31-05-2023,7,02-06-2023,9,05-06-2023,9,07-06-2023,9,09-06-2023,9,,10
137,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,,15
138,12-01-2023,02-05-2023,13,08-05-2023,13,10-05-2023,13,17-05-2023,13,22-05-2023,13,24-05-2023,13,26-05-2023,13,29-05-2023,13,31-05-2023,13,02-06-2023,13,05-06-2023,13,07-06-2023,13,09-06-2023,13,,13
139,12-01-2023,02-05-2023,14,08-05-2023,13,10-05-2023,14,17-05-2023,14,22-05-2023,14,24-05-2023,14,26-05-2023,14,29-05-2023,14,31-05-2023,14,02-06-2023,14,05-06-2023,14,07-06-2023,14,09-06-2023,14,,14
140,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,,0
141,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,,0
142,12-01-2023,02-05-2023,15,08-05-2023,7,10-05-2023,7,17-05-2023,8,22-05-2023,9,24-05-2023,9,26-05-2023,9,29-05-2023,9,31-05-2023,9,02-06-2023,9,05-06-2023,9,07-06-2023,9,09-06-2023,9,,15
143,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,,0
144,12-01-2023,02-05-2023,16,08-05-2023,16,10-05-2023,16,17-05-2023,16,22-05-2023,16,24-05-2023,16,26-05-2023,16,29-05-2023,16,31-05-2023,16,02-06-2023,16,05-06-2023,16,07-06-2023,16,09-06-2023,16,,16
145,12-01-2023,02-05-2023,15,08-05-2023,7,10-05-2023,7,17-05-2023,7,22-05-2023,7,24-05-2023,7,26-05-2023,8,29-05-2023,8,31-05-2023,10,02-06-2023,10,05-06-2023,10,07-06-2023,12,09-06-2023,12,,15
146,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,,0
147,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,,0
148,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,,0
149,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,,0
150,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,,0
151,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,,15
152,12-01-2023,02-05-2023,9,08-05-2023,4,10-05-2023,4,17-05-2023,4,22-05-2023,4,24-05-2023,4,26-05-2023,4,29-05-2023,4,31-05-2023,4,02-06-2023,4,05-06-2023,4,07-06-2023,5,09-06-2023,5,,9
153,12-01-2023,02-05-2023,10,08-05-2023,10,10-05-2023,10,17-05-2023,10,22-05-2023,10,24-05-2023,10,26-05-2023,10,29-05-2023,10,31-05-2023,10,02-06-2023,10,05-06-2023,10,07-06-2023,10,09-06-2023,10,,10
154,12-01-2023,02-05-2023,10,08-05-2023,10,10-05-2023,10,17-05-2023,10,22-05-2023,10,24-05-2023,10,26-05-2023,10,29-05-2023,10,31-05-2023,10,02-06-2023,10,05-06-2023,10,07-06-2023,10,09-06-2023,10,,10
155,12-01-2023,02-05-2023,15,08-05-2023,14,10-05-2023,14,17-05-2023,14,22-05-2023,14,24-05-2023,14,26-05-2023,14,29-05-2023,14,31-05-2023,14,02-06-2023,14,05-06-2023,14,07-06-2023,14,09-06-2023,14,,15
156,12-01-2023,02-05-2023,16,08-05-2023,8,10-05-2023,8,17-05-2023,8,22-05-2023,8,24-05-2023,8,26-05-2023,8,29-05-2023,9,31-05-2023,9,02-06-2023,10,05-06-2023,10,07-06-2023,11,09-06-2023,11,,16
157,12-01-2023,02-05-2023,7,08-05-2023,1,10-05-2023,1,17-05-2023,1,22-05-2023,1,24-05-2023,1,26-05-2023,1,29-05-2023,1,31-05-2023,1,02-06-2023,1,05-06-2023,1,07-06-2023,1,09-06-2023,1,,7
158,12-01-2023,02-05-2023,10,08-05-2023,3,10-05-2023,4,17-05-2023,4,22-05-2023,4,24-05-2023,4,26-05-2023,4,29-05-2023,4,31-05-2023,4,02-06-2023,4,05-06-2023,4,07-06-2023,4,09-06-2023,4,,10
159,12-01-2023,02-05-2023,8,08-05-2023,8,10-05-2023,8,17-05-2023,8,22-05-2023,8,24-05-2023,8,26-05-2023,8,29-05-2023,8,31-05-2023,8,02-06-2023,8,05-06-2023,8,07-06-2023,8,09-06-2023,8,,8
160,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,,0
161,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,,15
162,12-01-2023,02-05-2023,11,08-05-2023,2,10-05-2023,3,17-05-2023,3,22-05-2023,4,24-05-2023,4,26-05-2023,4,29-05-2023,4,31-05-2023,4,02-06-2023,6,05-06-2023,6,07-06-2023,6,09-06-2023,6,,11
163,12-01-2023,02-05-2023,14,08-05-2023,14,10-05-2023,14,17-05-2023,14,22-05-2023,14,24-05-2023,14,26-05-2023,14,29-05-2023,14,31-05-2023,14,02-06-2023,14,05-06-2023,14,07-06-2023,14,09-06-2023,14,,14
164,12-01-2023,02-05-2023,16,08-05-2023,2,10-05-2023,2,17-05-2023,2,22-05-2023,2,24-05-2023,2,26-05-2023,2,29-05-2023,2,31-05-2023,2,02-06-2023,2,05-06-2023,2,07-06-2023,2,09-06-2023,3,,16
